sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1077.79230627397,-3.68011836621925,-52.0318181402981,-0.32447755806942,-0.985813958775094,1.93750993242569,-1077.93259354489,-3.78463304726345,-52.2277575972728,-0.327630478891542,-0.985100528883944,1.92335440724681,-500,0,0,0,0,0,0,0,1188.62823497893,106.079318982921,-87.8799255301356,0,0,0
1,-1077.52101764706,-4.61296909433439,-50.1386824905653,0.867004438173343,-0.879887497454531,1.84808780569209,-1077.45782745997,-4.70328138361332,-50.1192393989695,0.874777950190955,-0.884316011486573,1.85733126449057,-500,0,0,0,0,0,0,0,1067.43785990085,97.838163915884,-85.4946476511181,0,0,0
2,-1076.11899232155,-5.44400614791501,-48.3356501462496,1.9369958289394,-0.782186609705903,1.75737199359931,-1076.15704982398,-5.48771832450136,-48.1975094149203,1.93330125413618,-0.772036741573045,1.75450099437961,-500,0,0,0,0,0,0,0,958.983974234335,88.1791108063072,-79.0550806081203,0,0,0
3,-1073.70134390772,-6.18216486712943,-46.6217357176022,2.89825310578549,-0.694130828744389,1.6699134356504,-1073.7801544198,-6.28605546234634,-46.567910660089,2.91781987427862,-0.692937376692839,1.66229395762701,-500,0,0,0,0,0,0,0,855.778321411738,81.8658485939766,-73.093574442523,0,0,0
4,-1070.37417182896,-6.83541780082175,-44.9936875570586,3.75604557419158,-0.612375038674946,1.58569794196856,-1070.36941922302,-6.88866395978474,-45.0362389647305,3.77359954469023,-0.603912093743727,1.59096272533195,-500,0,0,0,0,0,0,0,763.378883977026,74.1685372939422,-69.023794603734,0,0,0
5,-1066.23553240976,-7.41075765956963,-43.4490060544721,4.5211892951214,-0.538304678838225,1.50323249441075,-1066.42775241093,-7.37775137920467,-43.3140161173543,4.51427738066311,-0.545575322231949,1.50319703819134,-500,0,0,0,0,0,0,0,681.427766755548,69.3130349816043,-63.6916715844251,0,0,0
6,-1061.37283851648,-7.91444964038718,-41.9851369319411,5.20415688158551,-0.469079282809777,1.42411963029358,-1061.3896246031,-7.97599883928643,-41.8835433161649,5.20851947524879,-0.468844354628968,1.44251119212534,-500,0,0,0,0,0,0,0,601.927301681312,62.8364331414697,-60.484032580204,0,0,0
7,-1055.86703913523,-8.35214941495706,-40.5996140297674,5.80740157525175,-0.406320266305514,1.34658512476076,-1055.70962598812,-8.40486184129065,-40.5906193665771,5.80549483030971,-0.420051576273101,1.33088179518995,-500,0,0,0,0,0,0,0,530.86976894526,58.8148813098914,-51.906940785841,0,0,0
8,-1049.79360477131,-8.72909637906995,-39.2880331021662,6.33943129719858,-0.347573661848722,1.27627593975804,-1049.78615017172,-8.75238694159057,-39.2856780849182,6.33178878795647,-0.349302879124147,1.29235551059586,-500,0,0,0,0,0,0,0,466.393421547786,52.4350617955958,-50.6641948897496,0,0,0
9,-1043.22047936615,-9.05048250360216,-38.0467089204404,6.80678405782542,-0.295198587149514,1.20610819717936,-1043.26883779673,-9.14906929418337,-37.854322745456,6.82223929916891,-0.305147770824294,1.20713121913311,-500,0,0,0,0,0,0,0,404.313745676576,48.8129156707962,-45.0044764223991,0,0,0
10,-1036.21111372784,-9.32130063449908,-36.8731593016454,7.21191477028834,-0.24643767456673,1.14076199122656,-1036.17499016524,-9.45986626478373,-36.891084847752,7.20943778445021,-0.240700582380754,1.13424676589624,-500,0,0,0,0,0,0,0,351.406201885454,42.9897907676429,-39.6425068941199,0,0,0
11,-1028.8231334968,-9.54626601288709,-35.7626287722975,7.56401613563382,-0.20349308217259,1.08009999813586,-1028.69969355217,-9.38980111473341,-35.7546159437372,7.55227078901329,-0.204618303689557,1.0868381324281,-500,0,0,0,0,0,0,0,302.172308203018,39.2414325984225,-37.174581355336,0,0,0
12,-1021.10773893704,-9.73015781251526,-34.7117854182498,7.86674475657864,-0.164290517108643,1.02141555069913,-1021.21008931112,-9.65836368878575,-34.6046412395789,7.85767691145741,-0.162643175145417,1.01241700771727,-500,0,0,0,0,0,0,0,256.652487476497,35.5810448921131,-32.0324182925693,0,0,0
13,-1013.11242023637,-9.87667431352421,-33.7172307717161,8.12386732199847,-0.128742484933964,0.967548370233187,-1013.1646761244,-9.73351545343623,-33.769215416572,8.11967701381058,-0.117113217633991,0.968522548553345,-500,0,0,0,0,0,0,0,214.361650867741,31.1783526702716,-29.3138240221904,0,0,0
14,-1004.88117651915,-9.98984140928073,-32.7752819744599,8.33859638182587,-0.0975917065953038,0.916227817123209,-1004.90325910917,-9.99467990245523,-32.9811677070344,8.32886666296561,-0.0875199004764974,0.902861626012821,-500,0,0,0,0,0,0,0,176.919851921787,28.7413498525602,-24.3238271872133,0,0,0
15,-996.453950786384,-10.0730738199883,-31.882202605152,8.51583426390171,-0.0688731148575883,0.869830715260706,-996.414592613851,-10.1594556820332,-31.8611648523438,8.51882005324278,-0.0728587240229749,0.864154188520103,-500,0,0,0,0,0,0,0,140.947179903424,27.6047837663639,-22.6930891473228,0,0,0
16,-987.867518380986,-10.1281536092681,-31.0346772693977,8.65701079513862,-0.0412864636957789,0.825140141547835,-987.848174359292,-10.1170872600152,-31.2208781236682,8.66121204347243,-0.0430871261820752,0.820134545961383,-500,0,0,0,0,0,0,0,109.575144371342,24.5428871382379,-19.5716983488019,0,0,0
17,-979.155621885961,-10.1571756782756,-30.2302173605611,8.76676437257412,-0.0167576742794716,0.783717624417045,-979.253788754974,-10.0491828178865,-30.2175004844583,8.76170573298325,-0.0158261703992866,0.785996199782799,-500,0,0,0,0,0,0,0,82.3370042116218,21.6809826757016,-18.1646190093633,0,0,0
18,-970.347627370684,-10.1630981588032,-29.4663832172292,8.84920780799422,0.00491271317633526,0.743904053514241,-970.422685757476,-10.1617807071027,-29.6513383315471,8.8523862774038,0.00449331867190576,0.750187552991834,-500,0,0,0,0,0,0,0,55.6067437745713,19.8742295470149,-15.7160786360893,0,0,0
19,-961.470575683069,-10.1482519095561,-28.7409890823798,8.90488032457385,0.024779785269194,0.706852742655283,-961.391777887039,-10.0940361814849,-28.7359156645677,8.90402013939197,0.0261710477167034,0.730154164586387,-500,0,0,0,0,0,0,0,32.3815418348798,17.5709675912994,-15.5435851295033,0,0,0
20,-952.54950504801,-10.1146887262409,-28.0523898655584,8.93724602962319,0.0423465813280352,0.670327394473589,-952.695111407325,-10.1392340458225,-28.0791645063666,8.93881874755439,0.0313042664693239,0.6670727973755,-500,0,0,0,0,0,0,0,11.5083480592109,17.1480414447126,-10.5489507248169,0,0,0
21,-943.606487423969,-10.063768866861,-27.3976246922118,8.94877736760692,0.0594931374005696,0.63919643317276,-943.540729795942,-10.1661455360611,-27.5199036341047,8.9599609526404,0.057611097081697,0.644243434537899,-500,0,0,0,0,0,0,0,-8.91463567215544,14.5711813639525,-9.38453618558054,0,0,0
22,-934.662167904732,-9.99698956837007,-26.7731722625361,8.93985075355198,0.0740654596073802,0.6097134730593,-934.557604799237,-9.85184975846959,-26.6066290620905,8.9326194835104,0.0808945162180995,0.612353458610983,-500,0,0,0,0,0,0,0,-24.1467387525665,11.6142478951292,-8.02208773691733,0,0,0
23,-925.734403543403,-9.91711543496098,-26.1773072977913,8.91566805950877,0.0856828073381986,0.582030129058873,-925.793579434519,-9.88806196855166,-26.046795683882,8.92928330094767,0.0956757583604841,0.583501969275753,-500,0,0,0,0,0,0,0,-41.3411712257281,10.2085481010549,-6.25660555981122,0,0,0
24,-916.839421574513,-9.82632569800132,-25.6079674966858,8.87428726354747,0.0958966667496148,0.556672866052369,-916.932341323053,-9.68642470028012,-25.6124566904518,8.87834389672986,0.0948401701656183,0.544533223533439,-500,0,0,0,0,0,0,0,-53.9697070268797,9.8888323839984,-3.22840897244029,0,0,0
25,-907.99211487934,-9.72548114689969,-25.0622217368509,8.82031947992438,0.10579243560024,0.534849162408253,-907.88845928716,-9.61766200654007,-25.0675808575011,8.82047444974072,0.107944436054567,0.543568454531179,-500,0,0,0,0,0,0,0,-66.2705263997512,8.44088040762341,-4.22168373811573,0,0,0
26,-899.204958334319,-9.61546401252186,-24.5385227300895,8.75398667737086,0.114241833332434,0.512586349733822,-899.186339974784,-9.63710606787153,-24.5328008979085,8.74739995199183,0.0918057832123608,0.514953528985903,-500,0,0,0,0,0,0,0,-76.3673152496139,10.093633814507,-2.4297511027732,0,0,0
27,-890.489173715722,-9.49617045421117,-24.0359235331323,8.67757690020062,0.124345283463024,0.492655240555721,-890.546966133795,-9.34685856227219,-23.8617732607657,8.68763580956253,0.120614274753743,0.495505036598819,-500,0,0,0,0,0,0,0,-87.6696486886628,6.63228964917007,-1.82695713835052,0,0,0
28,-881.855454690884,-9.36850339111073,-23.5526447623034,8.589856131935,0.130988842806865,0.473951889141811,-881.830061325017,-9.21047293874911,-23.6089151036054,8.59230507371355,0.131888179012856,0.466912671308117,-500,0,0,0,0,0,0,0,-95.5703847213221,5.23212797621258,0.526563076399,0,0,0
29,-873.313380911535,-9.23489234085515,-23.0866142730766,8.49428799825954,0.136233257472786,0.458163114820773,-873.227398206907,-9.21801095752556,-22.99701477956,8.51682690709645,0.145975343614474,0.46451035844201,-500,0,0,0,0,0,0,0,-105.227894295831,3.83848755360375,-0.457006285080979,0,0,0
30,-864.871728227103,-9.09673307572329,-22.6365374088421,8.38901369531777,0.140085272759892,0.442050121604879,-864.870791498745,-9.01175782526031,-22.659287912306,8.38098091685668,0.141223310804653,0.452509789642338,-500,0,0,0,0,0,0,0,-108.356508688179,3.90118457005533,0.0675968603781101,0,0,0
31,-856.536914833319,-8.95469024551025,-22.202077787767,8.28060991061534,0.144000387554275,0.426930396133125,-856.567483891868,-9.00523875367411,-22.0779672816616,8.2923411941969,0.147383268911945,0.41565049021196,-500,0,0,0,0,0,0,0,-116.099151635954,3.27215061615374,2.5908855421271,0,0,0
32,-848.314337588271,-8.80904631912122,-21.7811525681546,8.16454312030091,0.147287465164616,0.414985647205573,-848.321297842555,-8.93187329185544,-21.8336648254063,8.15975096240849,0.134925333663998,0.413338845782383,-500,0,0,0,0,0,0,0,-119.33250055574,4.37121321731106,2.3334450725743,0,0,0
33,-840.209451653109,-8.65956557607456,-21.3720433423898,8.04522736253302,0.151674020904645,0.40330024266884,-840.286566888894,-8.57285030218099,-21.2967136378182,8.04639559629725,0.148053044042555,0.392405350360789,-500,0,0,0,0,0,0,0,-124.066425851936,2.3403962001065,3.35289223955748,0,0,0
34,-832.226231140544,-8.50671338114357,-20.9738164974565,7.92121310651972,0.154030368784794,0.393223539271438,-832.267891228099,-8.6425688448475,-21.0830178502505,7.91789010535795,0.141510758263499,0.394289069680283,-500,0,0,0,0,0,0,0,-127.253228079598,3.13406186334509,2.7371287324727,0,0,0
35,-824.368630716078,-8.35110780087562,-20.5857004246059,7.79398706883791,0.157180791680866,0.383080512778221,-824.406532132508,-8.31225791955056,-20.7512977806893,7.79354491542687,0.165352085668953,0.385328460800799,-500,0,0,0,0,0,0,0,-130.541427277671,0.0893072722058079,2.96974948129881,0,0,0
36,-816.639896357428,-8.19387396355515,-20.2073282762732,7.66348134470663,0.157286882865116,0.373737540540135,-816.829882251132,-7.97394044925599,-20.1343670321286,7.66015293616851,0.160341654821634,0.359730133817815,-500,0,0,0,0,0,0,0,-132.355529114587,-0.0862845836514481,4.29572068247569,0,0,0
37,-809.04254689561,-8.03662171395066,-19.8373773560749,7.53121823298003,0.157217616131693,0.366239043549627,-809.213345314766,-8.0469467184402,-19.7178700892983,7.52717491602464,0.160358746527813,0.365737831620124,-500,0,0,0,0,0,0,0,-134.290800972932,0.0580187840991222,2.86195701658432,0,0,0
38,-801.578456045879,-7.87936645547068,-19.4753752055938,7.39696352768072,0.15729290078535,0.357841124296011,-801.470733846581,-7.97063943230023,-19.3659983499503,7.39728032067058,0.128362474959445,0.360265015993404,-500,0,0,0,0,0,0,0,-136.786564373897,3.105031368656,2.70549510056021,0,0,0
39,-794.249869470789,-7.72051224564889,-19.121566338581,7.26020982916716,0.160415518770046,0.349853882230037,-794.30911050405,-7.7348016012014,-18.9715719241328,7.247237685243,0.154344441708545,0.347803494407487,-500,0,0,0,0,0,0,0,-136.1055475162,0.0351590315483321,3.16279440751686,0,0,0
40,-787.057685464923,-7.56007039764776,-18.7752999238647,7.12415880437382,0.16046817713983,0.342755820519428,-787.100011899505,-7.62208247508542,-18.6110254240773,7.14144948910638,0.163919795757003,0.347489017762325,-500,0,0,0,0,0,0,0,-139.944925111627,-1.14781462552944,2.47314907192208,0,0,0
41,-780.003484165197,-7.40016713150428,-18.4361561522469,6.98424430236692,0.15933835507689,0.335610772260083,-779.876567014863,-7.35272803296098,-18.412563960662,6.97660287556802,0.172739058742886,0.319042593721767,-500,0,0,0,0,0,0,0,-137.907153527076,-2.56844980836659,4.92086854914735,0,0,0
42,-773.088119745223,-7.24210413535274,-18.102746336535,6.84648654848411,0.156787637188307,0.331286685578519,-773.071786795799,-7.16501188889644,-18.2033221530378,6.85242354357739,0.155064157176439,0.323752119092879,-500,0,0,0,0,0,0,0,-139.098780766141,-1.17639193985105,4.03143239678776,0,0,0
43,-766.311123565881,-7.0858957517734,-17.7738422893172,6.70750752796046,0.155629129867158,0.326599920368937,-766.183805912673,-7.1154426657839,-17.6124357937424,6.70637076058087,0.169353431919259,0.34434957400739,-500,0,0,0,0,0,0,0,-138.269464232742,-2.70445786035814,0.789914186745733,0,0,0
44,-759.672767870066,-6.93160996263075,-17.4510289040989,6.56920390814702,0.152942448268182,0.319104972195334,-759.746124475438,-6.98787005489115,-17.5406505856467,6.56856938409999,0.168672405780962,0.311029945643108,-500,0,0,0,0,0,0,0,-137.364689459123,-2.89150046831392,3.9783066069826,0,0,0
45,-753.172182386793,-6.78010443367365,-17.1339070581203,6.43196904985457,0.15006860947571,0.315216233593607,-753.20052668037,-6.85439129342506,-16.9349943259801,6.43108386548518,0.156039525424947,0.313062059997623,-500,0,0,0,0,0,0,0,-136.707333187779,-1.89516995564453,2.56378265219788,0,0,0
46,-746.808534186678,-6.63097462096134,-16.8211648616362,6.29532870016399,0.148191015915652,0.310345330513543,-746.799125602857,-6.55398543329909,-16.9369048954548,6.29625856630613,0.146320611794563,0.294932176648852,-500,0,0,0,0,0,0,0,-136.027605424898,-1.52409031285816,4.38059212602451,0,0,0
47,-740.581134327513,-6.48353690522017,-16.5121730527122,6.15947354497971,0.146684415591451,0.307715009596821,-740.480053553767,-6.47153394308695,-16.3948472393083,6.14718280810928,0.148345074380544,0.284904650459051,-500,0,0,0,0,0,0,0,-133.758173703394,-1.89143955188055,4.29922943271139,0,0,0
