sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-999.975449696924,0.00185304814601955,0,0,0,1.13132235745604,-1000.11573696784,-0.102661632898183,-0.1959394569747,-0.00315292082212269,0.00071342989115031,1.11716683227716,-500,0,0,0,0,0,0,0,1000.54676601789,0.133980276681334,-111.324804313767,0,0,0
1,-999.474607948257,0.00192003829685546,1.07501948700425,1.00161979874873,0.000133980303937568,1.01814999139884,-999.411417761175,-0.0883922509820787,1.09446257860001,1.00939331076634,-0.00429453372810462,1.02739345019733,-500,0,0,0,0,0,0,0,897.883504445717,0.60623787477462,-104.928270176933,0,0,0
2,-998.023662552184,0.00235713754890655,2.03848885490638,1.90020977085624,0.000740218204098278,0.908280334162765,-998.061720054606,-0.0413550390374412,2.17662958623566,1.89651519605303,0.0108900863369559,0.90540933494306,-500,0,0,0,0,0,0,0,806.471920503909,-1.00629855562071,-94.8941926667773,0,0,0
3,-995.719999739075,0.00259420649796801,2.89574235357088,2.7070593417977,-0.000266080325534962,0.805770088931002,-995.798810251154,-0.101296388718948,2.94956741108407,2.72662611029084,0.00092737172601554,0.798150610907612,-500,0,0,0,0,0,0,0,718.935009473224,0.109855604836341,-85.7141959129294,0,0,0
4,-992.653404457413,0.00238305400368249,3.65391049332458,3.426079099688,-0.000156224695672144,0.710159244123521,-992.648651851479,-0.0508631049593129,3.61135908565271,3.44363307018666,0.00830672023554705,0.715424027486914,-500,0,0,0,0,0,0,0,640.933996684293,-0.728945813636079,-78.7651209199968,0,0,0
5,-988.906926385916,0.00186235642557816,4.3189479295948,4.06682818853887,-0.000885170484919363,0.619552917398092,-989.099146387083,0.0348686367905344,4.45393786671255,4.05991627408057,-0.00815581387864403,0.619517461178684,-500,0,0,0,0,0,0,0,572.206665366109,0.745844114283334,-70.8596218512935,0,0,0
6,-984.554182034442,0.00135010801227329,4.89648200851883,4.63861558147111,-0.00013932634747598,0.535191495556522,-984.570968121057,-0.0601990908869793,4.99807562429501,4.64297817513438,9.56018333323865E-05,0.553583057388279,-500,0,0,0,0,0,0,0,504.844118728676,0.11083799844072,-65.3544569874179,0,0,0
7,-979.663443792965,0.0012662006736978,5.39170774416405,5.14281865881761,-2.84883339005204E-05,0.454974426552101,-979.506030645853,-0.0514462256598984,5.40070240735442,5.14091191387557,-0.0137597983014877,0.43927109698129,-500,0,0,0,0,0,0,0,444.920869904148,1.47887228146857,-54.7285145128378,0,0,0
8,-974.298541335016,0.00197714845685219,5.81144821235568,5.58694969201335,0.00145038396247484,0.384254913713842,-974.291086735419,-0.0213134140637614,5.81380322960376,5.57930718277125,-0.000278833312950238,0.400334484551664,-500,0,0,0,0,0,0,0,390.651455193713,0.0705101594225465,-51.661054914374,0,0,0
9,-968.516735524259,0.00346278747160324,6.16152840729038,5.97662684900338,0.00152089413465607,0.315684657041759,-968.565093954846,-0.0951240031096094,6.35391458227478,5.99208209034687,-0.00842828954012428,0.316707678995509,-500,0,0,0,0,0,0,0,337.921978875005,1.03307696023165,-44.3785970641005,0,0,0
